Time (GMT),Time,latitude,longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235946,23:59:46,,,0de0,0,5,57,d3,0.00E+00,59,57,0,7a,4b,02d1,321d,5e
235946,23:59:46,,,0cb0,0,5,005b,36,0b54,5a,57,0,7a,4b,02d1,321d,5e
235947,23:59:47,,,0c88,0,5,005e,36,0b54,5a,57,0,7a,54,028c,32ae,6e
235947,23:59:47,,,0c70,0,5,005f,3e,0b68,5b,57,0,7a,54,028c,32ae,6e
235948,23:59:48,,,0c7c,0,5,60,3e,0b68,5b,57,0,7a,54,268,333f,73
235948,23:59:48,,,0c78,0,5,61,3f,0b54,5b,57,0,7a,54,268,333f,73
235949,23:59:49,,,0c70,0,5,66,3f,0b54,5b,57,0,7a,53,282,33c7,6b
235949,23:59:49,,,0c70,0,5,006b,44,0af0,5b,57,0,7a,53,282,33c7,6b
235950,23:59:50,,,0c64,0,5,006d,44,0af0,5b,57,0,7a,53,289,3491,6a
235950,23:59:50,,,0c74,0,5,006f,47,0b2c,5b,57,0,7a,53,289,3491,6a
235951,23:59:51,,,0c4c,0,5,75,47,0b2c,5b,57,0,7a,52,027d,3540,67
235951,23:59:51,,,0c90,0,5,72,48,0ac8,5b,57,0,7a,52,027d,3540,67
235952,23:59:52,,,0ca0,0,5,70,48,0ac8,5b,57,0,7a,52,027f,36c1,69
235952,23:59:52,,,0cc4,0,5,006c,42,0af0,5b,57,1,7a,52,027f,36c1,69
235953,23:59:53,,,0c90,0,5,006a,42,0a00,5b,57,1,7a,52,200,3700,6b
235953,23:59:53,,,0cac,0,5,67,41,0b00,5b,57,1,7a,52,200,3700,6b
235954,23:59:54,,,0ca0,0,5,63,41,0b00,5b,57,1,7a,51,200,3700,6c
235954,23:59:54,,,0c94,0,5,61,3e,0b00,5b,57,0,7a,51,200,3700,6c
235955,23:59:55,,,0c9c,0,1,005f,3e,0b00,5b,57,0,7a,51,200,3700,6c
235955,23:59:55,,,0c88,0,1,005f,3e,0b00,5b,57,0,7a,51,200,3700,6c
235956,23:59:56,,,0be0,0,1,007a,3e,0b00,5b,57,0,7a,50,200,3700,63
235956,23:59:56,,,0c7c,0,1,80,4f,0b00,5b,57,0,7a,50,200,3700,63
235957,23:59:57,,,0d84,0,5,006c,4f,0b00,5b,57,0,7a,50,200,3700,6b
235957,23:59:57,,,0cf8,0,5,005b,36,0b00,5b,57,0,7a,50,200,3700,6b
235958,23:59:58,,,0cb4,0,5,005b,36,0b00,5b,57,0,7a,50,200,3700,6d
235958,23:59:58,,,0c98,0,5,005a,39,0b00,5b,57,0,7a,50,200,3700,6d
235959,23:59:59,,,0cc8,0,5,57,39,0b00,5b,57,0,7a,50,200,3700,6c
235959,23:59:59,,,0c84,0,5,58,3a,0a00,5b,57,1,7a,50,200,3700,6c
0,00:00:00,,,0c8c,0,5,57,3a,0adc,5b,57,1,7a,4f,254,3783,6f
0,00:00:00,,,0c74,0,5,005b,3c,0af0,5b,57,1,7a,4f,254,3783,6f
1,00:00:01,,,0c80,0,5,005c,3c,0af0,5b,57,1,7a,4f,252,375b,6d
1,00:00:01,,,0c98,0,5,005e,3d,0b40,5b,57,1,7a,4f,252,375b,6d
2,00:00:02,,,0c74,0,5,005e,3d,0b40,5b,57,1,7a,4f,023e,371e,73
2,00:00:02,,,0c78,0,5,005e,3f,0b18,5b,57,2,7a,4f,023e,371e,73
3,00:00:03,,,0c9c,0,5,58,3f,0b18,5b,57,2,7a,4f,022d,37a2,6c
3,00:00:03,,,0c8c,0,5,005a,3a,0b18,5b,57,0,7a,4f,022d,37a2,6c
4,00:00:04,,,0c48,0,1,60,3a,0b18,5b,57,0,7a,4e,023f,3445,6a
4,00:00:04,,,0bb8,0,1,98,5c,0ac8,5b,57,0,7a,4e,023f,3445,6a
5,00:00:05,,,0de4,0,5,81,5c,0ac8,5b,57,0,7a,4f,02a6,36d2,70
5,00:00:05,,,0cc4,0,1,66,3e,0b18,5b,57,0,7a,4f,02a6,36d2,70
6,00:00:06,,,0c10,0,1,80,3e,0b18,5b,57,0,7a,4f,026a,3714,6b
6,00:00:06,,,0c6c,0,1,84,52,0b7c,5b,57,0,7a,4f,026a,3714,6b
7,00:00:07,,,0d50,0,1,145,52,0b00,5b,57,0,7a,4f,300,3600,67
7,00:00:07,,,0.00E+00,0,1,00ec,6f,0f00,5c,57,2,7a,4f,300,3600,67
8,00:00:08,,,0e8c,0,5,0.00E+00,6f,0f00,5c,57,2,7b,4f,300,3300,74
8,00:00:08,,,0.00E+00,0,5,00cd,62,0d00,5d,57,1,7b,4f,300,3300,74
9,00:00:09,,,0dd0,0,5,00dc,62,0d00,5d,57,1,7b,50,200,3600,68
9,00:00:09,,,0e5c,0,5,00d4,63,0d00,5d,57,1,7b,50,200,3600,68
10,00:00:10,,,0ef0,0,5,00ba,63,0d00,5d,57,1,7b,4f,200,3700,6e
10,00:00:10,,,0f04,0,5,009a,47,0d00,5c,57,0,7b,4f,200,3700,6e
11,00:00:11,,,0.00E+00,0,5,00a1,47,0d00,5c,57,0,7b,4f,200,3300,70
11,00:00:11,,,0de0,0,5,00b0,5a,0c00,5c,57,0,7b,4f,200,3300,70
12,00:00:12,,,0dfc,0,1,00b0,5a,0c00,5c,57,0,7b,4f,200,3400,71
12,00:00:12,,,0d80,0,1,00d6,6c,0c00,5c,57,0,7b,4f,200,3400,71
13,00:00:13,,,0d9c,0,1,010b,6c,0c00,5c,57,0,7b,4f,200,3400,61
13,00:00:13,,,0df0,0,1,010a,84,0.00E+00,5d,57,3,7b,4f,200,3400,61
14,00:00:14,,,0ea0,0,1,00ea,84,0.00E+00,5d,57,3,7b,4f,329,33c1,6a
14,00:00:14,,,0.00E+00,0,5,00f2,77,0e4c,5d,57,5,7b,4f,329,33c1,6a
15,00:00:15,,,0e4c,0,1,00f4,77,0e4c,5d,57,5,7b,4f,329,36e3,6a
15,00:00:15,,,0f70,0,1,00cc,5a,0dfc,5d,57,7,7b,4f,329,36e3,6a
