Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235945,23:59:45,,,1030,0,1,00ed,f4,0dd4,5a,57,0,44,3f,376,30f1,54
235945,23:59:45,,,0d78,0,1,0.00E+00,67,0de8,59,57,0,44,3f,376,30f1,54
235946,23:59:46,,,0.00E+00,0,1,00fc,67,0de8,59,57,0,44,48,031d,3.10E+10,6d
235946,23:59:46,,,0cec,0,1,00eb,80,0d20,59,57,0,44,48,031d,3.10E+10,6d
235947,23:59:47,,,0db0,0,1,0.00E+00,80,0d20,59,57,0,44,48,311,336a,82
235947,23:59:47,,,0d7c,0,1,00ea,74,0d34,59,57,0,44,48,311,336a,82
235948,23:59:48,,,0d6c,0,1,0.00E+00,74,0d34,59,57,0,44,47,021a,3701,57
235948,23:59:48,,,0cf4,0,1,104,7e,0dc0,59,57,0,44,47,021a,3701,57
235949,23:59:49,,,0da8,0,1,0.00E+00,7e,0dc0,59,57,0,44,47,300,376b,5d
235949,23:59:49,,,0dc4,0,1,00d2,7f,0d48,59,57,0,44,47,300,376b,5d
235950,23:59:50,,,0db8,0,1,00c1,7f,0d48,59,57,0,44,47,02ba,3779,5f
235950,23:59:50,,,0d4c,0,5,00cf,70,0cd0,59,57,0,44,47,02ba,3779,5f
235951,23:59:51,,,0d60,0,5,00d6,70,0cd0,59,57,0,44,47,02b7,37aa,5c
235951,23:59:51,,,0d6c,0,5,00c8,5b,0c6c,59,57,0,44,47,02b7,37aa,5c
235952,23:59:52,,,0d1c,0,5,00c0,5b,0c00,59,57,0,45,47,200,3700,58
235952,23:59:52,,,0da4,0,5,00af,50,0c00,59,57,0,45,47,200,3700,58
153056,15:30:56,,,0c54,0,5,00d4,50,0c00,59,57,0,45,46,200,3700,57
153056,15:30:56,,,0df8,0,5,00d3,56,0c00,59,57,0,45,46,200,3700,57
153057,15:30:57,,,0db0,0,5,00cd,56,0c00,59,57,0,45,46,200,3700,5c
153057,15:30:57,,,0c9c,0,5,00cb,77,0b00,59,57,0,45,46,200,3700,5c
153058,15:30:58,,,0db8,0,5,00b5,77,0b00,59,57,0,45,46,200,3700,57
153058,15:30:58,,,0d08,0,5,00bc,6c,0d00,59,57,0,45,46,200,3700,57
153059,15:30:59,,,0d70,0,5,00b4,6c,0d00,59,57,0,45,45,200,3700,5a
153059,15:30:59,,,0cf0,0,5,00c3,77,0c00,59,57,0,45,45,200,3700,5a
153100,15:31:00,,,0db8,0,5,00b0,77,0c00,59,57,0,45,45,200,3700,5c
153100,15:31:00,,,0d10,0,5,00bb,75,0c00,59,57,0,45,45,200,3700,5c
153101,15:31:01,,,0d44,0,5,00b4,75,0c00,59,57,0,45,45,200,3700,5e
153101,15:31:01,,,0d80,0,5,00b0,66,0c00,59,57,1,45,45,200,3700,5e
153102,15:31:02,,,0cc0,0,5,00be,66,0c6c,59,57,1,45,44,029c,37eb,5a
153102,15:31:02,,,0d58,0,5,00b3,68,0c58,59,57,1,45,44,029c,37eb,5a
153103,15:31:03,,,0cf0,0,5,00b7,68,0c58,59,57,1,45,44,02ab,37f4,5a
153103,15:31:03,,,0d80,0,5,009d,76,0cbc,59,57,0,45,44,02ab,37f4,5a
153104,15:31:04,,,0d24,0,5,00a8,76,0cbc,59,57,0,45,44,02a9,37cb,5e
