Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR,,
235944,23:59:44,,,0d80,0,1,010a,71,11d0,59,57,0,3f,43,034f,3291,43,,
235944,23:59:44,,,0d88,0,1,00f8,70,0f14,59,57,0,3f,43,034f,3291,43,,
235945,23:59:45,,,0dd8,0,1,103,70,0f14,59,57,0,3f,43,030e,36bc,47,,
235945,23:59:45,,,0ccc,0,1,011e,96,0f78,59,57,0,3f,43,030e,36bc,47,,
235946,23:59:46,,,0f98,0,1,014e,96,0f78,59,57,0,3f,44,391,3779,46,,
235946,23:59:46,,,0.00E+00,0,1,013e,82,10f4,59,57,0,3f,44,391,3779,46,,
235947,23:59:47,,,0f7c,0,1,011b,82,10f4,59,57,0,3f,44,037f,37b8,53,,
235947,23:59:47,,,0.00E+00,0,1,113,6f,0fb4,59,57,0,3f,44,037f,37b8,53,,
235948,23:59:48,,,0eb4,0,1,119,6f,0fb4,59,57,0,3f,44,036c,37d8,5d,,
235948,23:59:48,,,0e7c,0,1,010d,7e,0eec,59,57,0,3f,44,036c,37d8,5d,,
235949,23:59:49,,,0ecc,0,1,106,7e,0eec,59,57,0,3f,44,030e,37eb,5c,,
235949,23:59:49,,,0.00E+00,0,1,108,7e,0eec,59,57,0,3f,44,030e,37eb,5c,,
235950,23:59:50,,,0.00E+00,0,1,00fd,7e,0eec,59,57,0,3f,44,031c,37e3,55,,
235950,23:59:50,,,0e6c,0,1,00f7,72,0.00E+00,59,57,0,3f,44,300,3700,55,,
235951,23:59:51,,,0e7c,0,1,00f5,72,0.00E+00,59,57,0,3f,44,300,3700,58,,
235951,23:59:51,,,0.00E+00,0,1,00ef,69,0.00E+00,59,57,0,3f,44,300,3700,58,,
52132,05:21:32,,,0.00E+00,0,1,00ed,69,0.00E+00,59,57,0,3f,44,300,3700,5b,,
52133,05:21:33,,,0.00E+00,0,1,00ea,70,0d00,59,57,0,3f,44,300,3700,5b,,
52133,05:21:33,,,0e7c,0,1,0.00E+00,70,0d00,59,57,0,3f,44,300,3800,59,,
