Time (GMT),Time,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,0d94,0,1,00c9,65,0ab4,59,57,0,4a,41,02be,3222,77
235944,23:59:44,0c98,0,1,00be,6b,0ba4,59,57,0,4a,41,02be,3222,77
235945,23:59:45,0c18,0,1,107,6b,0ba4,59,57,0,4a,41,285,3370,5f
235945,23:59:45,0f64,0,1,111,73,0f64,59,57,0,4a,41,285,3370,5f
235946,23:59:46,0.00E+00,0,1,00ff,73,0f64,59,57,0,4b,42,307,33b8,67
235946,23:59:46,0df4,0,1,00ff,79,0dc0,59,57,0,4b,42,307,33b8,67
235947,23:59:47,0ec8,0,1,00ff,79,0dc0,59,57,0,4b,43,02f4,376a,60
235947,23:59:47,0.00E+00,0,1,00fa,75,0e9c,59,57,0,4b,43,02f4,376a,60
235948,23:59:48,0eb8,0,1,00f4,75,0e9c,59,57,0,4b,43,02ec,3735,60
235948,23:59:48,0.00E+00,0,5,00ef,75,0dd4,59,57,0,4b,43,02ec,3735,60
235949,23:59:49,0.00E+00,0,5,00f1,75,0dd4,59,57,0,4b,44,02f1,3797,5d
235949,23:59:49,0.00E+00,0,5,00ea,6b,0.00E+00,59,57,0,4b,44,02f1,3797,5d
235950,23:59:50,0.00E+00,0,5,0.00E+00,6b,0.00E+00,59,57,0,4b,44,02ef,37a3,5f
235950,23:59:50,0.00E+00,0,5,0.00E+00,69,0.00E+00,59,57,0,4b,44,200,3700,5f
235951,23:59:51,0e6c,0,5,00df,69,0.00E+00,59,57,0,4b,44,200,3700,5f
235951,23:59:51,0.00E+00,0,5,00df,6b,0d00,59,57,0,4b,44,200,3700,5f
235952,23:59:52,0e7c,0,5,00de,6b,0d00,59,57,0,4b,44,200,3700,5d
235952,23:59:52,0.00E+00,0,5,00d9,68,0d00,5a,57,0,4b,44,200,3700,5d
235953,23:59:53,0.00E+00,0,5,00da,68,0d00,5a,57,0,4a,44,200,3700,60
235953,23:59:53,0.00E+00,0,5,00d7,6a,0d00,5a,57,0,4a,44,200,3700,60
235954,23:59:54,0.00E+00,0,5,00dc,6a,0d00,5a,57,0,4a,44,200,3700,5f
235954,23:59:54,0.00E+00,0,5,00da,69,0d00,5a,57,0,4a,44,200,3700,5f
235955,23:59:55,0.00E+00,0,5,00dd,69,0d00,5a,57,0,4a,44,200,3700,5f
235955,23:59:55,0.00E+00,0,5,00dc,68,0d00,59,57,0,4a,44,200,3700,5f
235956,23:59:56,0.00E+00,0,5,00db,68,0d00,59,57,0,4a,44,200,3700,5d
235956,23:59:56,0.00E+00,0,5,00d8,67,0d00,5a,57,0,4a,44,200,3700,5d
235957,23:59:57,0e4c,0,5,00d5,67,0d00,5a,57,0,4a,44,200,3700,61
235957,23:59:57,0.00E+00,0,5,00d7,69,0d98,5a,57,0,4a,44,02ca,37c8,61
235958,23:59:58,0.00E+00,0,5,00da,69,0d98,5a,57,0,4a,44,02ca,37ba,5d
235958,23:59:58,0.00E+00,0,5,00dc,68,0d84,59,57,0,4a,44,02ca,37ba,5d
235959,23:59:59,0de0,0,5,00da,68,0d84,59,57,0,4a,44,02b9,378f,5c
235959,23:59:59,0e3c,0,5,0.00E+00,6f,0d84,5a,57,0,4a,44,02b9,378f,5c
0,00:00:00,0e8c,0,5,0.00E+00,6f,0d84,5a,57,0,4a,44,02ec,3793,61
0,00:00:00,0.00E+00,0,5,00dd,69,0.00E+00,5a,57,1,4a,44,02ec,3793,61
1,00:00:01,0.00E+00,0,5,00dd,69,0.00E+00,5a,57,1,4a,44,02d6,3794,5e
1,00:00:01,0e6c,0,5,00dc,68,0dac,5a,57,1,4a,44,02d6,3794,5e
2,00:00:02,0.00E+00,0,5,00dc,68,0dac,5a,57,1,4a,44,02d2,3569,62
2,00:00:02,0e2c,0,1,00ec,73,0dc0,5a,57,0,4a,44,02d2,3569,62
3,00:00:03,0.00E+00,0,1,0.00E+00,73,0dc0,5a,57,0,4a,44,2e08,36cb,62
3,00:00:03,0.00E+00,0,1,0.00E+00,6b,0.00E+00,5a,57,1,4a,44,2e08,36cb,62
4,00:00:04,0.00E+00,0,5,0.00E+00,6b,0.00E+00,5a,57,1,4a,44,02dc,3727,60
