Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR,
235947,23:59:47,,,0dec,0,1,88,0eb0,59,57,0,76,5a,02cb,3229,54,,
235947,23:59:47,,,0c9c,0,1,43,0bf4,5a,57,0,76,5a,02cb,3229,54,,
235948,23:59:48,,,0c8c,0,1,43,0bf4,5a,57,0,76,62,02a6,32d3,6f,,
235948,23:59:48,,,0c7c,0,1,41,0ba4,5b,57,0,76,62,02a6,32d3,6f,,
235949,23:59:49,,,0c88,0,1,41,0ba4,5b,57,0,76,60,293,3361,81,,
235949,23:59:49,,,0c74,0,1,46,0b40,5b,57,0,76,60,293,3361,81,,
235950,23:59:50,,,0c70,0,1,46,0b40,5b,57,0,77,5f,1e07,3481,66,,
235950,23:59:50,,,0c60,0,1,49,0adc,5b,57,0,77,5f,1e07,3481,66,,
235951,23:59:51,,,0c74,0,1,49,0adc,5b,57,0,77,5d,285,36e5,61,,
235952,23:59:52,,,0c50,0,1,4a,0b2c,5b,57,0,77,5d,285,36e5,61,,
235952,23:59:52,,,0c7c,0,1,4a,0b2c,5b,57,0,77,5e,028b,3727,66,,
235953,23:59:53,,,0c68,0,1,4d,0b54,5b,57,0,77,5e,028b,3727,66,,
85314,08:53:14,,,0c30,0,1,4d,0b54,5b,57,0,78,5d,287,3748,66,,
85315,08:53:15,,,0c70,0,1,54,0b2c,5b,57,0,78,5d,287,3748,5f,,
85315,08:53:15,,,0c70,0,1,54,0b2c,5b,57,0,78,5d,289,379f,5f,,
85316,08:53:16,,,0c8c,0,1,54,0b2c,5b,57,0,78,5d,289,379f,61,,
85316,08:53:16,,,0c84,0,1,54,0b00,5b,57,1,78,5c,200,3700,61,,
85317,08:53:17,,,0c98,0,1,53,0b00,5b,57,1,78,5c,200,3700,64,,
85317,08:53:17,,,0c80,0,1,53,0b00,5b,57,1,78,5c,200,3700,64,,
85318,08:53:18,,,0c68,0,1,53,0b00,5b,57,1,78,5c,200,3700,67,,
85318,08:53:18,,,0c78,0,1,53,0b00,5b,57,2,78,5c,200,3700,67,,
85319,08:53:19,,,0cf4,0,1,5f,0b00,5b,57,2,78,5c,200,3700,57,,
85319,08:53:19,,,0db0,0,1,5f,0b00,5b,57,3,78,5c,200,3700,57,,
85320,08:53:20,,,0.00E+00,0,1,43,0b00,5b,57,3,78,5c,200,3700,63,,
85320,08:53:20,,,0dd4,0,1,43,0b00,5b,57,4,77,5c,200,3700,63,,
85321,08:53:21,,,0d7c,0,1,40,0b00,5b,57,4,77,5c,200,3700,65,,
85321,08:53:21,,,0d64,0,1,40,0b00,5b,57,5,77,5b,200,3700,65,,
